Sr. No.,Sequence Number,Program Name,Program Information,Navigation URL,Image URL,Program Id,Namespace
1,1,Teacher Attendance,This program entails indicators to monitor reporting of attendance and presence of teachers in the jurisdiction.,/teacher-attendance,teacher_attendance.png,teacherAttendance,sch_att
2,2,PGI,Performance Grading Index,/pgi,pgi.png,pgi,pgi
3,3,PM POSHAN,Pradhan Mantri Poshan Shakti Nirman,/pmposhan,pmposhan.png,pmPoshan,pm_poshan
4,4,UDISE+,Unified District Information System for Education,/udise,udise.png,udise,udise
5,5,NAS,National Achievement Survey,/nas,nas.png,nas,nas
6,6,DIKSHA,Digital Infrastructure for Knowledge Sharing,/diksha,diksha.png,diksha,diksha
7,7,NISHTHA,"NISHTHA is a capacity building programme for \""Improving Quality of School Education through Integrated Teacher Training\"". It aims to build competencies among all the teachers and school principals at the elementary stage.",/nishtha,nishtha.png,nishtha,nishtha
8,8,School Infrastructure,"NISHTHA is a capacity building programme for \""Improving Quality of School Education through Integrated Teacher Training\"". It aims to build competencies among all the teachers and school principals at the elementary stage.",/school-infrastructure,infra.jpeg,schoolInfrastructure,school_infra
9,9,Student Progression,This program details the compliance of schools in the state with UDISE infrastructure criteria.,/school-progression,progression.jpeg,studentProgress,student_progression
10,10,Student Assessments,Student Assessments,/student-assessments,nishtha.png,studentAssessments,assessment
11,11,NCERT Quizes,National Curriculum Framework,/quizzes,Quizzes.png,quiz,ncert_quiz
12,12,NCF,National Curriculum Framework,/ncf,NCF.png,ncf,ncf
13,13,Micro-Improvements,Micro-Improvements,/microimprovement,Micro Improvement.png,microImprovement,micro_improvements
14,14,NIPUN Bharat,NIPUN Bharat,/nipunBharat,NIPUN BHARAT.png,nipunBharat,nipun_bharat
15,15,E-Adhigam,e-Adhigam,/eadhigam,eadhigam.png,eadhigam,eadhigam
